Star,"Apparent
magnitude",Distance (ly),"Spectral
type"
Sun,−26.74,0.000016,G2V
Proxima Centauri,10.43 to 11.11[4],4.244,M5.5Ve[5]
Lalande 21185,7.520[9],8.3044±0.0007,M2V
Lacaille 9352,7.34,10.721,M0.5V
Luyten's Star,9.872,11.2,M3.5V
YZ Ceti,12.07,11.74,M4.5V
Gliese 1061,13.03,12.04,M5.5V
Teegarden's Star,15.13,12.497,M7V
Wolf 1061,10.07,14.050 ± 0.002,M3.5V
Gliese 876,10.17,15.25,M4V
82 G. Eridani,4.254,19.71,G8V
Gliese 581,10.56,20.56,M3V
Gliese 667 C,10.2,21,M1.5V
HD 219134,5.57,21,K3Vvar
61 Virginis,4.74,28,G5V
Gliese 433,9.79,29.8±0.1,M1.5V
Gliese 357,10.906,30.776,M2.5V
L 98-59,11.69,34.6,M3V
Gliese 414 A,8.31,38.76,K7V
Gliese 806,10.79,39.3,M1.5V
TRAPPIST-1,18.8,39.5,M8V
55 Cancri,5.95,40,K0IV-V
Gliese 180,10.894,40.3,M2V[40] or M3V[41]
HD 69830,5.95,41,K0V
HD 40307,7.17,42,K2.5V
Upsilon Andromedae,4.09,44,F8V
47 Ursae Majoris,5.1,46,G0V
Nu2 Lupi,5.65,47,G2V
LHS 1140,14.18,48.9,M4.5V[52]
Gliese 163,11.8,49,M3.5V
Mu Arae,5.15,51,G3IV-V
GJ 3929,12.67,51.58,M3.5V
Gliese 676 A,9.59,53,M0V
HD 7924,7.19,55,K0V
Pi Mensae,5.65,59.62±0.07,G0V
Gliese 3293,11.96,59,M2.5V
LHS 1678,12,64.8,M2V
HD 142,5.7,67,G1 IV
HD 215152,8.13,70,G8IV
HD 164922,7.01,72,G9V[64]
HD 63433,6.92,73,G5V
HIP 57274,8.96,85,K5V
HD 39194,8.08,86.2,K0V
LP 791-18,16.9,86.9,M6V/M7V
HD 181433,8.38,87,K5V
HD 134606,6.85,87,G6IV
HD 158259,6.46,89,G0
HD 82943,6.54,90,F9V Fe+0.5[68]
Gliese 3138,10.877,92.9,
GJ 9827,10.1,96.8±0.2,K6V
