pl_name,pl_type
KOI-4978 b,Terrestrial
Kepler-879 c,Terrestrial
Kepler-1489 c,Terrestrial
Kepler-963 c,Terrestrial
Kepler-158 d,Terrestrial
Barnard b,Terrestrial
GJ 238 b,Terrestrial
TOI-4527.01,Terrestrial
SPECULOOS-3 b,Terrestrial
LHS 1678 d,Terrestrial
Teegarden's Star d,Terrestrial
LHS 475 b,Terrestrial
Kepler-1982 b,Terrestrial
Kepler-1990 c,Terrestrial
Kepler-1992 b,Terrestrial
Kepler-1994 b,Terrestrial
Kepler-1998 b,Terrestrial
Kepler-1869 c,Terrestrial
Kepler-290 d,Terrestrial
Kepler-865 c,Terrestrial
TOI-700 e,Terrestrial
Kepler-138 e,Terrestrial
K2-411 b,Terrestrial
K2-413 b,Terrestrial
HD 23472 d,Terrestrial
HD 23472 e,Terrestrial
KMT-2020-BLG-0414L b,Terrestrial
Kepler-1693 c,Terrestrial
Kepler-1934 b,Terrestrial
Kepler-1130 c,Terrestrial
Kepler-1890 b,Terrestrial
Kepler-1898 b,Terrestrial
Kepler-1957 b,Terrestrial
Kepler-1877 b,Terrestrial
Kepler-1907 b,Terrestrial
Kepler-1130 d,Terrestrial
Kepler-1759 b,Terrestrial
Kepler-1800 b,Terrestrial
Kepler-1967 b,Terrestrial
Kepler-1850 b,Terrestrial
Kepler-352 d,Terrestrial
Kepler-1864 b,Terrestrial
Kepler-1963 b,Terrestrial
GJ 367 b,Terrestrial
LHS 1678 b,Terrestrial
EPIC 220492298 b,Terrestrial
EPIC 201757695.02,Terrestrial
TOI-540 b,Terrestrial
Kepler-1689 b,Terrestrial
K2-315 b,Terrestrial
TOI-700 b,Terrestrial
L 98-59 b,Terrestrial
EPIC 206317286 b,Terrestrial
EPIC 201497682 b,Terrestrial
EPIC 201833600 c,Terrestrial
EPIC 206215704 b,Terrestrial
YZ Ceti b,Terrestrial
PSR B1257+12 b,Terrestrial
K2-266 c,Terrestrial
K2-257 b,Terrestrial
K2-239 c,Terrestrial
K2-157 b,Terrestrial
K2-209 b,Terrestrial
K2-210 b,Terrestrial
K2-223 b,Terrestrial
K2-138 f,Terrestrial
K2-137 b,Terrestrial
K2-116 b,Terrestrial
Kepler-1047 c,Terrestrial
Kepler-1053 b,Terrestrial
Kepler-124 b,Terrestrial
Kepler-125 c,Terrestrial
Kepler-524 c,Terrestrial
Kepler-1031 b,Terrestrial
Kepler-342 e,Terrestrial
Kepler-106 b,Terrestrial
Kepler-303 b,Terrestrial
Kepler-444 b,Terrestrial
Kepler-444 c,Terrestrial
Kepler-444 f,Terrestrial
Kepler-444 e,Terrestrial
TRAPPIST-1 d,Terrestrial
Kepler-271 c,Terrestrial
Kepler-271 d,Terrestrial
Kepler-779 b,Terrestrial
Kepler-780 b,Terrestrial
Kepler-783 b,Terrestrial
Kepler-1222 b,Terrestrial
Kepler-1235 b,Terrestrial
Kepler-431 b,Terrestrial
Kepler-1169 b,Terrestrial
Kepler-1173 b,Terrestrial
Kepler-85 b,Terrestrial
Kepler-1130 b,Terrestrial
Kepler-1141 b,Terrestrial
Kepler-1152 b,Terrestrial
Kepler-431 c,Terrestrial
Kepler-444 d,Terrestrial
Kepler-408 b,Terrestrial
Kepler-388 c,Terrestrial
Kepler-390 c,Terrestrial
Kepler-398 b,Terrestrial
Kepler-399 b,Terrestrial
Kepler-653 c,Terrestrial
Kepler-387 c,Terrestrial
Kepler-388 b,Terrestrial
Kepler-390 b,Terrestrial
Kepler-392 b,Terrestrial
Kepler-378 b,Terrestrial
Kepler-378 c,Terrestrial
Kepler-381 b,Terrestrial
Kepler-220 b,Terrestrial
Kepler-220 d,Terrestrial
Kepler-28 b,Terrestrial
Kepler-314 b,Terrestrial
Kepler-362 b,Terrestrial
Kepler-607 b,Terrestrial
Kepler-352 b,Terrestrial
Kepler-353 b,Terrestrial
Kepler-605 c,Terrestrial
Kepler-1328 b,Terrestrial
Kepler-1339 b,Terrestrial
Kepler-398 d,Terrestrial
Kepler-1285 b,Terrestrial
Kepler-1293 b,Terrestrial
Kepler-1296 b,Terrestrial
Kepler-1297 b,Terrestrial
Kepler-1308 b,Terrestrial
Kepler-910 b,Terrestrial
Kepler-1650 b,Terrestrial
TRAPPIST-1 e,Terrestrial
TRAPPIST-1 h,Terrestrial
K2-89 b,Terrestrial
Kepler-1067 b,Terrestrial
Kepler-1076 b,Terrestrial
Kepler-1087 b,Terrestrial
Kepler-1027 b,Terrestrial
Kepler-1049 b,Terrestrial
Kepler-969 c,Terrestrial
Kepler-1258 b,Terrestrial
Kepler-1395 b,Terrestrial
Kepler-1398 b,Terrestrial
Kepler-1402 b,Terrestrial
Kepler-1408 b,Terrestrial
Kepler-1412 b,Terrestrial
Kepler-1416 b,Terrestrial
Kepler-1417 b,Terrestrial
Kepler-1421 b,Terrestrial
