,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
1,11 Com,G8 III,4742.0,19.0,2.243,93.1846,5.726,4.72307
20,14 And,K0 III,4813.0,11.0,1.763,75.4392,6.256,5.23133
32,14 Her,K0V,5388.0,0.96,-0.155,17.9323,7.495,6.61935
61,HIP 96895,G2V,5781.0,1.26,0.23,21.1389,6.604,5.961
74,16 Cyg B,G5V,5674.0,1.17,0.143,21.1397,6.876,6.215
82,17 Sco,K3 III,4157.0,25.92,2.254,124.953,6.615,5.22606
83,18 Del,G6 III,4980.0,8.8,1.634,76.222,6.43,5.51048
97,24 Boo,G3 IV,4893.0,10.64,1.774,95.9863,6.439,5.59
121,2MASS J04372171+2651014,M V,3100.0,0.84,-1.164,128.484,17.237,16.186
183,47 UMa,G0V,5882.0,1.24,0.233,13.7967,5.646,5.03352
196,51 Eri,F0V,7257.0,1.52,0.763,29.7575,5.486,5.21149
225,51 Peg,G5V,5787.0,1.15,0.161,15.4614,6.104,5.45309
237,55 Cnc,G8V,5235.0,0.93,-0.18,12.5855,6.816,5.95084
266,6 Lyn,K0 IV,4978.0,5.2,1.176,54.6599,6.796,5.87307
279,61 Vir,G7 V,5538.0,0.99,-0.085,8.50332,0.072,4.6955
301,7 CMa,K1 III,4792.0,2.3,1.053,19.8101,5.013,3.95
325,70 Vir,G5V,5545.0,1.88,0.501,17.9011,5.678,4.96808
332,75 Cet,G3 III,4846.0,10.5,1.73,82.9613,6.366,5.3532
341,81 Cet,G5 III,4734.0,11.21,1.76,101.26,6.675,5.64307
369,AF Lep,F7/8V,6496.0,1.22,0.29,26.8564,6.854,6.332
382,AU Mic,M1VE,3753.0,0.7,-1.046,9.7221,10.209,8.81
402,BD+14 4559,K2 V,5008.0,0.95,-0.32,49.352,10.581,9.78
409,BD+15 2940,K0,4796.0,14.7,2.01,426.42,10.121,9.01
414,BD+20 2457,K2 II,4137.0,49.0,3.17,1539.71,10.989,9.743
418,BD+20 274,K5 III,4296.0,17.3,1.96,1322.51,10.72,9.367
422,BD+20 594,G,5766.0,0.93,-0.056,179.461,11.765,10.849
432,BD+48 738,K0 III,4414.0,11.0,1.69,871.493,10.352,9.139
438,BD+49 828,K0,4943.0,7.6,1.47,442.042,10.508,9.381
442,BD+60 1417,K0,4993.0,0.8,0.356,44.9543,10.379,9.374
449,BD-06 1339,M0V,4060.0,0.67,-0.959,20.2695,10.972,9.7
471,BD-11 4672,K7V,4228.0,0.67,-0.886,27.1665,11.243,10.03
480,BD-17 63,K5 V,4714.0,0.69,-0.678,34.4603,10.677,9.62
483,BD-210397,K7 V,4051.0,0.75,-0.87,23.7324,11.137,9.84
497,COCONUTS-2 A,M3 V,3406.0,0.39,-1.732,10.8864,12.983,11.298
565,CoRoT-19,F9 V,6090.0,1.65,0.544,790.663,14.905,14.135
690,CoRoTID 223977153,G0 VI,5970.0,0.79,-0.155,576.683,14.403,13.626
708,DMPP-2,F5 V,6500.0,1.78,0.104,137.94,8.965,8.57
719,DMPP-4,F7V,6266.0,1.42,0.45,25.3284,6.191,5.72936
