,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag,b-v_index,abs_mag
1,11 Com,G8 III,4742.0,19.0,2.243,93.1846,5.726,4.72307,1.00293,-0.12365072659594212
20,14 And,K0 III,4813.0,11.0,1.763,75.4392,6.256,5.23133,1.0246700000000004,0.8433446287547346
32,14 Her,K0V,5388.0,0.96,-0.155,17.9323,7.495,6.61935,0.8756500000000003,5.351170020887483
61,HIP 96895,G2V,5781.0,1.26,0.23,21.1389,6.604,5.961,0.6429999999999998,4.33558807860547
74,16 Cyg B,G5V,5674.0,1.17,0.143,21.1397,6.876,6.215,0.6610000000000005,4.589505900958725
82,17 Sco,K3 III,4157.0,25.92,2.254,124.953,6.615,5.22606,1.3889399999999998,-0.2576734378787746
83,18 Del,G6 III,4980.0,8.8,1.634,76.222,6.43,5.51048,0.9195199999999994,1.100078299495446
97,24 Boo,G3 IV,4893.0,10.64,1.774,95.9863,6.439,5.59,0.8490000000000002,0.6789537441244473
121,2MASS J04372171+2651014,M V,3100.0,0.84,-1.164,128.484,17.237,16.186,1.0509999999999984,10.64175475638526
183,47 UMa,G0V,5882.0,1.24,0.233,13.7967,5.646,5.03352,0.6124799999999997,4.3346438952311726
196,51 Eri,F0V,7257.0,1.52,0.763,29.7575,5.486,5.21149,0.27450999999999937,2.8435077886501414
225,51 Peg,G5V,5787.0,1.15,0.161,15.4614,6.104,5.45309,0.6509099999999997,4.50684592054039
237,55 Cnc,G8V,5235.0,0.93,-0.18,12.5855,6.816,5.95084,0.8651599999999995,5.451487630046724
266,6 Lyn,K0 IV,4978.0,5.2,1.176,54.6599,6.796,5.87307,0.92293,2.1847258359105264
279,61 Vir,G7 V,5538.0,0.99,-0.085,8.50332,0.072,4.6955,-4.6235,5.047557385448009
301,7 CMa,K1 III,4792.0,2.3,1.053,19.8101,5.013,3.95,1.0629999999999997,2.465566660838669
325,70 Vir,G5V,5545.0,1.88,0.501,17.9011,5.678,4.96808,0.7099200000000003,3.703681406761979
332,75 Cet,G3 III,4846.0,10.5,1.73,82.9613,6.366,5.3532,1.0127999999999995,0.758822255949287
341,81 Cet,G5 III,4734.0,11.21,1.76,101.26,6.675,5.64307,1.03193,0.6158803847458891
369,AF Lep,F7/8V,6496.0,1.22,0.29,26.8564,6.854,6.332,0.5220000000000002,4.186761016586361
382,AU Mic,M1VE,3753.0,0.7,-1.046,9.7221,10.209,8.81,1.3989999999999991,8.871199580766943
402,BD+14 4559,K2 V,5008.0,0.95,-0.32,49.352,10.581,9.78,0.8010000000000002,6.313476213820385
409,BD+15 2940,K0,4796.0,14.7,2.01,426.42,10.121,9.01,1.1110000000000007,0.8608121708696448
414,BD+20 2457,K2 II,4137.0,49.0,3.17,1539.71,10.989,9.743,1.2460000000000004,-1.1941946520403146
418,BD+20 274,K5 III,4296.0,17.3,1.96,1322.51,10.72,9.367,1.3529999999999998,-1.2399948229251496
422,BD+20 594,G,5766.0,0.93,-0.056,179.461,11.765,10.849,0.9160000000000004,4.579149582923188
432,BD+48 738,K0 III,4414.0,11.0,1.69,871.493,10.352,9.139,1.213000000000001,-0.562319515614556
438,BD+49 828,K0,4943.0,7.6,1.47,442.042,10.508,9.381,1.126999999999999,1.1536823240501182
442,BD+60 1417,K0,4993.0,0.8,0.356,44.9543,10.379,9.374,1.004999999999999,6.110143802528596
449,BD-06 1339,M0V,4060.0,0.67,-0.959,20.2695,10.972,9.7,1.2720000000000002,8.165784820895878
471,BD-11 4672,K7V,4228.0,0.67,-0.886,27.1665,11.243,10.03,1.213000000000001,7.859831551855916
480,BD-17 63,K5 V,4714.0,0.69,-0.678,34.4603,10.677,9.62,1.0570000000000004,6.933404730235447
483,BD-210397,K7 V,4051.0,0.75,-0.87,23.7324,11.137,9.84,1.2970000000000006,7.963291702075585
497,COCONUTS-2 A,M3 V,3406.0,0.39,-1.732,10.8864,12.983,11.298,1.6850000000000005,11.11357856201772
565,CoRoT-19,F9 V,6090.0,1.65,0.544,790.663,14.905,14.135,0.7699999999999996,4.645042920226517
690,CoRoTID 223977153,G0 VI,5970.0,0.79,-0.155,576.683,14.403,13.626,0.777000000000001,4.821314254693499
708,DMPP-2,F5 V,6500.0,1.78,0.104,137.94,8.965,8.57,0.3949999999999996,2.8715488917353875
719,DMPP-4,F7V,6266.0,1.42,0.45,25.3284,6.191,5.72936,0.46164000000000005,3.711321219053213
725,DS Tuc A,G6 V,5428.0,0.96,-0.14,44.0622,8.886,8.17,0.7159999999999993,4.949669112865962
861,EPIC 220674823,G5,5590.0,0.83,-0.119,244.59,12.576,12.101,0.47499999999999964,5.158806514781536
872,EPIC 246851721,F5 V,6202.0,1.59,0.526,372.632,12.067,11.237,0.8300000000000001,3.3805992626755454
884,G 264-012,M4.0 V,3326.0,0.3,-1.972,16.009,14.644,13.078,1.5660000000000007,12.056178976894973
885,G 9-40,M2.5 V,3348.0,0.31,-1.971,27.9276,15.477,13.821,1.6560000000000006,11.590831922200556
906,GJ 1148,M5,3264.0,0.4,-1.699,11.0143,13.343,11.939,1.404,11.729215493381997
947,GJ 143,K4.5,4640.0,0.69,-0.686,16.32,9.214,8.08,1.1340000000000003,7.016399227910789
959,GJ 15 A,M1,3607.0,0.38,-1.655,3.56228,9.616,8.09,1.5259999999999998,10.331359737003195
975,GJ 160.2,K7,4345.0,0.6,-0.921,25.8557,10.938,9.7,1.2380000000000013,7.637218499666081
982,GJ 179,M4,3277.0,0.41,-1.699,12.356,13.552,11.963,1.5890000000000004,11.503610501852934
989,GJ 180,M3,3562.0,0.42,-1.523,11.9407,12.436,10.914,1.5220000000000002,10.528851064012194
1000,GJ 2056,M0V:,4017.0,0.68,-0.959,28.4434,11.702,10.37,1.3320000000000007,8.100092455853812
1013,GJ 229,M1.5V,3710.0,0.46,-1.222,5.75624,9.591,8.15,1.440999999999999,9.349305534672006
1018,GJ 251,M3.0V,3423.0,0.38,-1.699,5.58057,11.74,9.89,1.8499999999999996,11.156607199566611
1026,GJ 27.1,M4,3706.0,0.54,-1.301,23.6062,12.904,11.45,1.4540000000000006,9.584869588505956
1030,GJ 273,M3.5V,3283.0,0.33,-2.0,5.921535,11.313,9.84,1.4730000000000008,10.977828497113718
1048,GJ 3021,G6V,5336.0,0.96,-0.174,17.5559,7.352,6.59,0.7620000000000005,5.36788450800405
1053,GJ 3082,M4,3613.0,0.47,-1.523,16.6186,12.555,11.041,1.5139999999999993,9.93802782631078
1057,GJ 3090,M3,3574.0,0.55,-1.301,22.4751,12.89,11.403,1.487,9.644491836271428
1077,GJ 328,M1,3920.0,0.67,-1.0,20.5266,11.305,9.99,1.3149999999999995,8.428414903298746
1084,GJ 3293,M2.5,3466.0,0.4,-1.658,20.1903,13.436,11.945,1.4909999999999997,10.419286139958224
1092,GJ 3341,M2.5,3526.0,0.44,-1.538,23.619,13.544,12.062,1.482000000000001,10.19569246919159
1095,GJ 338 A,M0.0V,3867.0,0.54,-1.097,6.33278,8.995,7.64,1.3549999999999995,8.632027995238115
1100,GJ 338 B,M0 V,4014.0,0.58,-1.101,6.33256,9.117,7.7,1.4170000000000007,8.692103433233486
1115,GJ 3470,M1.5,3600.0,0.5,-1.538,29.4214,13.785,12.332,1.4529999999999994,9.988683327347598
1141,GJ 357,K,3501.0,0.34,-1.699,9.44181,12.355,10.91,1.4450000000000003,11.034723716188616
1151,GJ 367,M1:,3501.0,0.51,-1.523,9.41263,11.617,10.153,1.4640000000000004,10.284445063043723
1162,GJ 3929,M3.5 V,3369.0,0.32,-1.937,15.8095,14.333,12.675,1.6579999999999995,11.680409325441651
1167,GJ 393,M2,3545.0,0.44,-1.523,7.03149,11.054,9.65,1.404,10.414763182716085
1172,GJ 3942,M0,3867.0,0.61,-1.12,16.9287,11.746,10.166,1.58,9.022881956207785
1176,GJ 3988,M4.5 V,3273.0,0.2,-2.395,9.9105,15.348,13.627,1.721,13.646522170680004
1179,GJ 3998,M1,3722.0,0.49,-1.387,18.1459,12.351,10.844,1.5070000000000014,9.550107433999269
1188,GJ 411,M2.0V,3611.0,0.4,-1.699,5.675773,8.915,7.49,1.424999999999999,8.719874911402975
1212,GJ 414 A,K8V,4085.0,0.72,-0.886,11.8893,9.69,8.31,1.379999999999999,7.934218571770529
1217,GJ 414 B,M2 V,3663.0,0.55,-1.319,11.8728,12.457,10.82,1.6370000000000005,10.447234239621064
1234,GJ 4276,M4.0,3387.0,0.41,-1.706,21.3362,14.391,12.903,1.4879999999999995,11.257414631676841
1244,GJ 433,M2V,3618.0,0.47,-1.523,9.06456,11.2,9.81,1.3899999999999988,10.023266360054041
1248,GJ 436,M3,3431.0,0.47,-1.523,9.75321,12.058,10.67,1.388,10.724262123635839
1272,GJ 463,M4,3469.0,0.51,-1.523,18.3554,12.924,11.595,1.3289999999999988,10.27618073466134
1281,GJ 486,M4,3267.0,0.37,-2.0,8.07426,2.615,11.39,-8.775,11.85448634971692
1293,GJ 504,G0Vs,6234.0,1.26,0.36,17.5299,5.768,5.18799,0.5800099999999997,3.9690928067449622
1324,GJ 514,M1V,3707.0,0.51,-1.398,7.61778,10.542,9.05,1.491999999999999,9.640857869169315
1332,GJ 536,K5/M0V,3700.0,0.45,-1.398,10.4092,11.168,9.71,1.4579999999999984,9.622913234741402
1341,GJ 581,M3.0V,3375.0,0.34,-2.0,6.2981,11.761,10.57,1.190999999999999,11.573952240009437
1352,GJ 625,M2,3499.0,0.31,-1.894,6.47249,11.784,10.066,1.718,11.010643059388723
1362,GJ 649,M2,3675.0,0.53,-1.301,10.3796,11.164,9.7,1.4640000000000004,9.619096913141085
1382,HIP 84709,M1.5V,4810.0,0.52,-0.886,6.97107,7.255,5.91,1.3449999999999998,6.693502781367601
1392,GJ 674,M2.5V,3461.0,0.36,-1.699,4.54896,10.921,9.38,1.5409999999999986,11.090439409998007
1396,GJ 676 A,M0,3851.0,0.73,-0.959,16.0272,10.977,9.58,1.3970000000000002,8.55571171785021
1406,GJ 682,M4.0,3172.0,0.34,-2.0,5.00671,1.931,10.94,-9.009,12.442237815970506
1409,GJ 685,M0.5,3816.0,0.54,-1.253,14.3155,11.401,9.98,1.4209999999999994,9.200967393486541
1417,GJ 687,M3 V,3413.0,0.42,-1.672,4.54939,10.617,9.15,1.4670000000000005,10.860234156707733
1430,GJ 720 A,M2,3849.0,0.61,-1.155,15.5575,11.163,9.84,1.3230000000000004,8.880300951717459
1435,GJ 724,M,3671.0,0.55,-1.301,16.9658,12.093,10.638,1.455,9.490128284752743
1441,GJ 740,M1.0 V,3913.0,0.56,-1.206,11.1017,10.616,9.22,1.395999999999999,8.993052563684518
1449,GJ 806,M3,3584.0,0.43,-1.523,12.0445,12.495,10.79,1.705,10.386056120191233
1464,GJ 832,M1.5V,3601.0,0.45,-1.523,4.96435,10.34,8.66,1.6799999999999997,10.180688035836091
1469,GJ 849,M3,3343.0,0.55,-1.523,8.80058,11.582,10.41,1.1720000000000006,10.687443524192952
1494,GJ 86,K1V,5151.0,0.8,-0.377,10.7836,6.945,6.12,0.8250000000000002,5.956181149766427
1501,GJ 876,M2.5V,3227.0,0.4,-1.699,4.67517,11.73,10.16,1.5700000000000003,11.811012962759893
1534,GJ 9404,M2V,3811.0,0.73,-1.0,23.8839,12.037,10.62,1.4170000000000016,8.729473779215462
1539,GJ 96,M2,3799.0,0.61,-1.155,11.9315,10.821,9.4,1.4209999999999994,9.016524772104166
1545,GJ 9689,M0V:,3845.0,0.54,-1.222,30.6203,12.728,11.297,1.4309999999999992,8.866952793253073
1561,GPX-1,F2,7000.0,1.56,0.727,655.013,12.74,12.316,0.4239999999999995,3.234750402543085
1582,Gl 378,M1,3879.0,0.56,-1.222,14.9545,11.366,10.03,1.3360000000000003,9.156140514591279
