# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 17 22:12:28 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag > 0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_dens,st_denserr1,st_denserr2,st_vsin,st_vsinerr1,st_vsinerr2,st_rotp,st_rotperr1,st_rotperr2,st_radv,st_radverr1,st_radverr2,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,406.00000000,4.00000000,-4.00000000,,,,,,,,,,,,,,,,,,,0.330000,0.050000,-0.050000,,,,,,,,,,,,,,29564.00,,,0.20,0.00,0.00,0.48,,,,,,,,,,5.51,0.01,-0.01,,,,,,,,,,,,,,,,396.3320000,6.3885000,-6.3885000,12.1120000,0.3070000,-0.3070000,12.6510000,0.2150000,-0.2150000
KIC 10001893 b,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,0.21970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500.00,200.00,-500.00,,,,,,,,,,,,,,5.35,0.05,-0.05,,,,,,,,,,,,,25.00,,,1672.9400000,149.7000000,-149.7000000,15.0730000,0.1090000,-0.1090000,15.8290000,0.1500000,-0.1500000
KIC 10001893 c,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,0.32528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500.00,200.00,-500.00,,,,,,,,,,,,,,5.35,0.05,-0.05,,,,,,,,,,,,,25.00,,,1672.9400000,149.7000000,-149.7000000,15.0730000,0.1090000,-0.1090000,15.8290000,0.1500000,-0.1500000
KIC 10001893 d,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,0.81161000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500.00,200.00,-500.00,,,,,,,,,,,,,,5.35,0.05,-0.05,,,,,,,,,,,,,25.00,,,1672.9400000,149.7000000,-149.7000000,15.0730000,0.1090000,-0.1090000,15.8290000,0.1500000,-0.1500000
KIC 10068024 b,KIC 10068024,1,1,1,Orbital Brightness Modulation,2021,Kepler,2.07354900,0.00000800,-0.00017700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6118.40,127.20,-121.20,1.57,0.53,-0.37,1.22,0.17,-0.14,0.010,0.153,-0.174,[Fe/H],,,,4.09,0.18,-0.20,,,,,,,,,,,,,,,,721.1050000,,,13.6850000,0.0870000,-0.0870000,13.1440000,0.0920000,-0.0920000
KIC 10525077 b,KIC 10525077,1,1,1,Transit,2015,Kepler,854.08300000,0.01628000,-0.01697000,,,,5.500,0.900,-0.800,0.491,0.080,-0.071,,,,,,,,,,,,,,,,,,,239.300000,46.000000,-52.000000,0.05000,0.00300,-0.00300,,6091.00,164.00,-213.00,1.01,0.10,-0.10,1.01,0.12,-0.12,-0.040,0.220,-0.300,[Fe/H],,,,4.42,0.06,-0.30,,,,,,,,,,,,,,,,1461.1500000,56.0000000,-52.1000000,15.9590000,0.1510000,-0.1510000,15.5920000,0.1150000,-0.1150000
KIC 3558849 b,KIC 3558849,1,1,1,Transit,2015,Kepler,1322.30000000,386.10000000,-11.20000000,,,,6.900,1.000,-0.900,0.616,0.089,-0.080,,,,,,,,,,,,,,,,,,,576.700000,21.500000,-50.200000,0.06300,0.00200,-0.00200,,6175.00,168.00,-194.00,1.01,0.11,-0.11,0.98,0.11,-0.11,-0.420,0.280,-0.300,[Fe/H],,,,4.44,0.07,-0.27,,,,,,,,,,,,,,,,1215.7000000,34.2000000,-32.4100000,14.9990000,0.0500000,-0.0500000,14.3200000,0.1140000,-0.1140000
KIC 5437945 b,KIC 5437945,1,1,2,Transit,2015,Kepler,440.78130000,0.00563000,-0.00577000,,,,6.400,1.600,-1.600,0.571,0.143,-0.143,,,,,,,,,,,,,,,,,,,158.900000,5.100000,-12.000000,0.04700,0.00100,-0.00100,,6340.00,176.00,-199.00,1.24,0.29,-0.29,1.07,0.17,-0.17,-0.380,0.280,-0.300,[Fe/H],,,,4.16,0.22,-0.25,,,,,,,,,,,,,,,,1274.0100000,27.9200000,-27.9200000,14.4680000,0.0290000,-0.0290000,13.8340000,0.1140000,-0.1140000
KIC 5479689 b,KIC 5479689,1,1,1,Orbital Brightness Modulation,2021,Kepler,1.70153100,0.00000800,-0.00041900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459.10,90.00,-85.20,0.89,0.02,-0.02,0.97,0.03,-0.04,0.161,0.116,-0.115,[Fe/H],,,,4.52,0.01,-0.02,,,,,,,,,,,,,,,,454.9500000,4.6170000,-4.6170000,14.9490000,0.0430000,-0.0430000,13.9290000,0.1140000,-0.1140000
KIC 7917485 b,KIC 7917485,1,1,1,Pulsation Timing Variations,2016,Kepler,840.00000000,22.00000000,-20.00000000,,,,,,,,,,,,,,,,,,,0.150000,0.130000,-0.100000,,,,,,,,,,,,,A,7067.00,192.00,-192.00,,,,1.63,0.15,-0.12,-0.020,0.150,-0.150,[Fe/H],0.996,0.172,-0.176,4.00,0.14,-0.14,,,,,,,120.0000,,,,,,,,,1382.8900000,38.3800000,-36.4000000,13.7410000,0.0250000,-0.0250000,13.1660000,0.0570000,-0.0570000
KIC 8121913 b,KIC 8121913,1,1,1,Orbital Brightness Modulation,2021,Kepler,3.29460100,0.00001300,-0.00022000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5975.30,110.20,-109.40,2.23,0.05,-0.06,1.46,0.07,-0.15,0.252,0.128,-0.170,[Fe/H],,,,3.90,0.03,-0.05,,,,,,,,,,,,,,,,707.3030000,11.3130000,-10.9680000,13.2090000,0.1130000,-0.1130000,12.3800000,0.0570000,-0.0570000
KIC 8540376 b,KOI-7892,1,1,3,Transit,2015,Kepler,31.80990000,0.00919000,-0.00933000,,,,4.100,2.200,-1.900,0.366,0.196,-0.170,,,,,,,,,,,,,,,,,,,34.700000,3.700000,-6.900000,0.03000,0.00200,-0.00200,,6474.00,178.00,-267.00,1.26,0.56,-0.56,1.04,0.20,-0.20,-0.160,0.230,-0.320,[Fe/H],,,,4.31,0.10,-0.33,,,,,,,,,,,,,,,,1072.3000000,22.0250000,-22.0250000,15.0610000,0.0430000,-0.0430000,14.4110000,0.1140000,-0.1140000
KIC 8540376 c,KOI-7892,1,1,3,Transit,2015,Kepler,75.20000000,38.90000000,-1.10000000,,,,2.400,1.900,-1.400,0.214,0.170,-0.125,,,,,,,,,,,,,,,,,,,103.900000,14.100000,-14.100000,0.01800,0.00400,-0.00500,,6474.00,178.00,-267.00,1.26,0.56,-0.56,1.04,0.20,-0.20,-0.160,0.230,-0.320,[Fe/H],,,,4.31,0.10,-0.33,,,,,,,,,,,,,,,,1072.3000000,22.0250000,-22.0250000,15.0610000,0.0430000,-0.0430000,14.4110000,0.1140000,-0.1140000
KIC 9663113 b,KIC 9663113,1,1,2,Transit,2015,Kepler,572.38470000,0.00583000,-0.00567000,,,,4.600,0.600,-0.700,0.410,0.054,-0.062,,,,,,,,,,,,,,,,,,,153.500000,23.000000,-15.000000,0.04100,0.00100,-0.00100,,6065.00,155.00,-180.00,1.03,0.12,-0.12,0.98,0.13,-0.13,-0.280,0.280,-0.300,[Fe/H],,,,4.42,0.08,-0.26,,,,,,,,,,,,,,,,1594.7400000,44.3350000,-44.3350000,14.7750000,0.0130000,-0.0130000,14.0270000,0.1370000,-0.1370000
