
st_host_name,pl_lm_class
TOI-1836,Ordered
GJ 27.1,N/A
HD 95089,Ordered
HD 206610,N/A
HD 154088,N/A
HD 113538,Ordered
TOI-1842,N/A
HD 95086,N/A
HD 74156,Ordered
TOI-1855,N/A
TOI-1853,N/A
HD 169142,N/A
TOI-1859,N/A
51 Peg,N/A
TOI-1860,N/A
HD 13189,N/A
HD 80869,N/A
BD+60 1417,N/A
EPIC 201170410,N/A
TOI-1883,N/A
TOI-4914,N/A
HD 13167,N/A
HIP 12961,N/A
HD 37124,Similar
TOI-1899,N/A
TOI-1898,N/A
Wolf 1061,Ordered
Wolf 1069,N/A
Kepler-1807,N/A
Kepler-1808,N/A
Kepler-1809,N/A
HD 45652,N/A
Kepler-708,N/A
TOI-715,N/A
Kepler-1800,N/A
Kepler-707,N/A
Kepler-1801,Similar
Kepler-1802,Ordered
Kepler-709,N/A
Kepler-704,N/A
Kepler-1804,N/A
Kepler-703,N/A
TOI-712,Similar
Kepler-1805,N/A
Kepler-1806,N/A
Kepler-705,N/A
Kepler-700,N/A
Kepler-702,N/A
Kepler-701,N/A
SPECULOOS-3,N/A
Kepler-1818,N/A
Kepler-1819,N/A
HD 9446,Ordered
Kepler-1810,N/A
Kepler-719,N/A
Kepler-1811,N/A
Kepler-1812,N/A
Kepler-1813,N/A
Kepler-1814,Ordered
Kepler-715,N/A
TOI-700,Mixed
Kepler-1815,N/A
Kepler-714,N/A
Kepler-1816,N/A
Kepler-717,N/A
Kepler-1817,N/A
Kepler-716,Ordered
Kepler-711,N/A
Kepler-710,N/A
Kepler-713,N/A
Kepler-712,Ordered
GJ 649,N/A
TOI-3629,N/A
HD 220074,N/A
HD 125595,N/A
HD 80883,N/A
HD 221416,N/A
HD 1502,N/A
HD 219077,N/A
TYC 2187-512-1,N/A
GJ 625,N/A
HD 221420,N/A
TOI-4994,N/A
TOI-757,N/A
GJ 3138,Ordered
GJ 674,N/A
HD 70642,N/A
LHS 1815,N/A
GJ 687,Similar
TOI-2338,N/A
GJ 682,Ordered
GJ 685,N/A
TOI-733,N/A
DH Tau,N/A
TOI-2364,N/A
TOI-3693,N/A
2MASS J12073346-3932539,N/A
HD 95872,N/A
K2-139,N/A
Kepler-7,N/A
TOI-674,N/A
WASP-81,N/A
HD 70573,N/A
K2-138,Similar
Kepler-6,N/A
WASP-80,N/A
Kepler-9,Ordered
Kepler-8,N/A
TOI-677,N/A
Kepler-5,N/A
Kepler-4,N/A
Kepler-1887,N/A
Kepler-1888,N/A
Kepler-1889,N/A
TOI-2373,N/A
TOI-2374,N/A
Kepler-667,N/A
TOI-2368,N/A
Kepler-1880,N/A
Kepler-666,N/A
Kepler-1881,N/A
Kepler-669,N/A
Kepler-1882,N/A
Kepler-668,N/A
Kepler-1883,N/A
Kepler-663,N/A
Kepler-1884,N/A
Kepler-662,N/A
Kepler-1885,N/A
Kepler-665,N/A
Kepler-1886,N/A
Kepler-664,N/A
WASP-79,N/A
K2-131,N/A
WASP-78,N/A
K2-130,N/A
K2-133,Similar
Kepler-661,N/A
K2-132,N/A
