,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
0,11 UMi b,11 UMi,516.21997,1.53,12.3,4684.8142,0.08,,,K4 III,4213.0,29.79,2.78,-0.02,1.93,K,651.6035374735211,Too Hot,,0.0,9.396725526267465,17.536423447341505,
1,14 And b,14 And,186.76,0.775,13.1,1131.1513,0.0,,,K0 III,4888.0,11.55,1.78,-0.21,2.55,K,665.5273618348484,Too Hot,,0.0,4.9041923860886065,9.152336535665457,
2,14 Her b,14 Her,1765.0389,2.774,12.6,2559.47216,0.373,,,K0 V,5338.0,0.93,0.91,0.405,4.45,K,-119.40116937047006,Too Cold,,0.0,0.47093742789541915,0.878876171246045,NeptuneLike-GasGiant-Only
3,17 Sco b,17 Sco,578.38,1.45,12.9,1373.01872,0.06,,,K3 III,4157.0,25.92,1.22,-0.01,1.7,K,601.1460735161211,Too Hot,,0.0,7.960093449109937,14.855341790476782,
4,1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,3000.0,,,1700.0,K7 V,4060.0,1.31,0.85,,4.0,K,-260.4252365564313,Too Cold,Gas-Giant,0.0,0.383748316155247,0.7161614916271576,NeptuneLike-GasGiant-Only
5,24 Boo b,24 Boo,30.33,0.194,13.9,280.64248,0.032,,,G3 IV,4816.0,12.19,1.05,-0.78,2.28,G,1625.8828269251621,Too Hot,,0.0,5.024580194672571,9.377007521672693,
6,24 Sex b,24 Sex,452.8,1.333,13.4,632.46,0.09,,,K0 IV,5098.0,4.9,1.54,-0.03,3.5,K,213.06438366641817,Too Hot,,0.0,2.263178779475015,4.223605478628483,
7,24 Sex c,24 Sex,883.0,2.08,13.9,273.32,0.29,,,K0 IV,5098.0,4.9,1.54,-0.03,3.5,K,116.08439462599893,Too Hot,,0.0,2.263178779475015,4.223605478628483,
8,2M0437 b,2MASS J04372171+2651014,,118.0,13.0,1271.31363,,,1450.0,M V,3100.0,0.84,0.17,0.01,4.5,M,-260.13915991016563,Too Cold,Gas-Giant,0.0,0.14345833755520018,0.26772583144917517,NeptuneLike-GasGiant-Only
9,2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,7786.5,,,1600.0,M3.5 V,3530.0,0.37,0.4,,4.86,M,-258.3378227095384,Too Cold,Gas-Giant,0.0,0.08193590498778429,0.15291100302869778,NeptuneLike-GasGiant-Only
