# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 26 19:57:28 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
11 Com B,,4415.00,0.63,-0.874,100.1580000,,12.6170000
11 Com,G8 III,4742.00,19.00,2.243,93.1846000,5.7260000,4.7230700
11 Com,K0 III,4705.00,15.78,2.039,93.1846000,5.7260000,4.7230700
11 Com,,,,,93.1846000,5.7260000,4.7230700
11 Com,,4755.00,17.18,2.133,93.1846000,5.7260000,4.7230700
11 Com,G8 III,4874.00,13.76,1.978,93.1846000,5.7260000,4.7230700
11 Com,K0,,,,93.1846000,5.7260000,4.7230700
11 Com,,4830.00,,,93.1846000,5.7260000,4.7230700
11 Com,,4675.18,17.41,,93.1846000,5.7260000,4.7230700
11 UMi,K4 III,4340.00,24.08,,125.3210000,6.3820000,5.0130000
11 UMi,,4213.00,29.79,,125.3210000,6.3820000,5.0130000
11 UMi,,4255.00,27.03,,125.3210000,6.3820000,5.0130000
11 UMi,K0,,,,125.3210000,6.3820000,5.0130000
11 UMi,,4263.77,29.31,,125.3210000,6.3820000,5.0130000
11 UMi,,4248.70,30.26,2.430,125.3210000,6.3820000,5.0130000
11 UMi,,,,,125.3210000,6.3820000,5.0130000
14 And,,4709.00,10.86,,75.4392000,6.2560000,5.2313300
14 And,,,,,75.4392000,6.2560000,5.2313300
14 And,,4740.00,11.15,1.752,75.4392000,6.2560000,5.2313300
14 And,,,,,75.4392000,6.2560000,5.2313300
14 And,K0 III,4813.00,11.00,1.763,75.4392000,6.2560000,5.2313300
14 And,G8 III,4826.00,10.30,,75.4392000,6.2560000,5.2313300
14 And,,4689.46,11.22,,75.4392000,6.2560000,5.2313300
14 And,K0 III,4888.00,11.55,1.840,75.4392000,6.2560000,5.2313300
14 And,K0,,,,75.4392000,6.2560000,5.2313300
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,K0 V,,,,17.9323000,7.4950000,6.6193500
14 Her,K0 IV-V,,,,17.9323000,7.4950000,6.6193500
14 Her,,5314.94,1.00,,17.9323000,7.4950000,6.6193500
14 Her,,5418.00,,,17.9323000,7.4950000,6.6193500
14 Her,K0 V,,,,17.9323000,7.4950000,6.6193500
14 Her,,5255.00,,-0.150,17.9323000,7.4950000,6.6193500
14 Her,K0V,5388.00,0.96,-0.155,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,,5311.00,,,17.9323000,7.4950000,6.6193500
14 Her,,5282.00,1.00,-0.151,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,K0 IV-V,5518.00,0.87,-0.204,17.9323000,7.4950000,6.6193500
14 Her,K0,,,,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,,5255.00,,,17.9323000,7.4950000,6.6193500
14 Her,,5338.00,0.93,,17.9323000,7.4950000,6.6193500
14 Her,,5280.00,1.00,-0.153,17.9323000,7.4950000,6.6193500
14 Her,,,0.96,,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
14 Her,,,,,17.9323000,7.4950000,6.6193500
HIP 96895,,5778.00,1.25,0.196,21.1389000,6.6040000,5.9610000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
HIP 96895,,,,,21.1389000,6.6040000,5.9610000
16 Cyg B,,5765.00,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,5711.97,1.16,,21.1397000,6.8760000,6.2150000
16 Cyg B,G2.5 V,5760.00,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
16 Cyg B,G3 V,,,,21.1397000,6.8760000,6.2150000
HIP 96895,G1.5 V,,,,21.1389000,6.6040000,5.9610000
16 Cyg B,,5747.00,1.13,0.097,21.1397000,6.8760000,6.2150000
HIP 96895,,,1.26,,21.1389000,6.6040000,5.9610000
HIP 96895,,,,,21.1389000,6.6040000,5.9610000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
HIP 96895,G2V,5781.00,1.26,0.230,21.1389000,6.6040000,5.9610000
HIP 96895,G0,,,,21.1389000,6.6040000,5.9610000
