# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat May 25 17:04:16 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,sy_dist,sy_bmag,sy_vmag
11 Com B,100.1580000,,12.6170000
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 Com,93.1846000,5.7260000,4.7230700
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
11 UMi,125.3210000,6.3820000,5.0130000
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 And,75.4392000,6.2560000,5.2313300
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
14 Her,17.9323000,7.4950000,6.6193500
HIP 96895,21.1389000,6.6040000,5.9610000
16 Cyg B,21.1397000,6.8760000,6.2150000
